COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Afghanistan,AFG,EMRO,REPORTING,20-08-2021,1201286,770542,3.086,1.979,430744,1.107,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",22-02-2021,4
Albania,ALB,EURO,OWID,17-08-2021,1340339,764997,46.575,26.583,575342,19.992,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4
Algeria,DZA,AFRO,REPORTING,23-08-2021,4146091,3421279,9.455,7.802,724812,1.653,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",30-01-2021,3
American Samoa,ASM,WPRO,REPORTING,09-08-2021,52769,29210,95.601,52.92,24104,43.669,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",21-12-2020,3
Andorra,AND,EURO,OWID,15-08-2021,91660,51044,118.631,66.064,40616,52.567,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2
Angola,AGO,AFRO,REPORTING,23-08-2021,1754073,1025762,5.337,3.121,728311,2.216,SII - Covishield,10-03-2021,1
Anguilla,AIA,AMRO,REPORTING,20-08-2021,18458,9493,123.037,63.278,8965,59.759,AstraZeneca - Vaxzevria,05-02-2021,1
Antigua and Barbuda,ATG,AMRO,REPORTING,20-08-2021,71434,39186,72.945,40.015,32248,32.93,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",19-02-2021,5
Argentina,ARG,AMRO,REPORTING,20-08-2021,38145435,26993547,84.4,59.726,11151888,24.675,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield",29-12-2020,5
Armenia,ARM,EURO,OWID,15-08-2021,220236,144573,7.432,4.879,75663,2.553,"AstraZeneca - AZD1222, Sinovac - CoronaVac, Gamaleya - Sputnik V",,3
